代表团,代码,奖牌,项目,项目代码,小项,小项代码,姓名,类型,性别,出生日期,Bib,成员数,成员,时间
Japan,JPN,ME_GOLD,Soft Tennis,TST,Women's Team,W.TEAM--------------.----,Japan,T,W,,,5,MIYAMAE Kiho / MAEDA Rio / NAKATANI Sakura / IWAKURA Ayaka / TEMMA Rena,2026-09-20T14:00
Japan,JPN,ME_SILVER,Soft Tennis,TST,Mixed Doubles,X.DOUBLES-----------.----,UEMATSU Toshiki / TEMMA Rena,D,X,,,2,UEMATSU Toshiki / TEMMA Rena,2026-09-21T17:00
Japan,JPN,ME_BRONZE,Soft Tennis,TST,Mixed Doubles,X.DOUBLES-----------.----,MARUYAMA Kaito / MAEDA Rio,D,X,,,2,MARUYAMA Kaito / MAEDA Rio,2026-09-21T15:30
Japan,JPN,ME_SILVER,Volleyball,VVO,Women's Finals,W.TEAM6-------------.FNL-,Japan,T,W,,,12,INOUE Miina / KITAMADO Ayane / HIROTA Ai / SHIGIHARA Hinata / YAMAGUCHI Maki / NISHIZAKI Mana / AKIMOTO Miku / WADA Yukiko / SEKI Nanami / SHIODE Hitomi / SATO Yoshino / YAMADA Nichika,2026-09-22T19:20
Japan,JPN,ME_SILVER,Wushu,WSU,Women's Taijiquan & Taijijian,W.TAIJ--------------.FNL-,SAITO Shiho,A,W,1994-12-23,,0,,2026-09-20
Jordan,JOR,ME_GOLD,Karate,KTE,Men's Kumite -84kg Final,M.84KG--------------.FNL-,ALJA'FARI Mohammad,A,M,2004-02-02,,0,,2026-09-22T16:10
Jordan,JOR,ME_SILVER,Karate,KTE,Women's Kumite -68kg Final,W.68KG--------------.FNL-,ALDROUS Joud,A,W,2003-07-10,,0,,2026-09-21T17:35
Jordan,JOR,ME_BRONZE,Karate,KTE,Men's Kumite -67kg Final,M.67KG--------------.FNL-,ALMASATFA Abdel Rahman,A,M,1996-05-26,,0,,2026-09-21T14:25
Kazakhstan,KAZ,ME_GOLD,Cycling Road,CRD,Men's Individual Time Trial,M.TT----------------.----,LUTSENKO Alexey,A,M,1992-09-07,1,0,,2026-09-20T00:00
Kazakhstan,KAZ,ME_GOLD,Cycling Road,CRD,Women's Individual Time Trial,W.TT----------------.----,SULTANOVA Rinata,A,W,1998-03-17,9,0,,2026-09-20T00:00
Kazakhstan,KAZ,ME_GOLD,Karate,KTE,Men's Kumite -55kg Final,M.55KG--------------.FNL-,BIGABYL Zholaman,A,M,2003-03-22,,0,,2026-09-20T16:30
Kazakhstan,KAZ,ME_GOLD,Karate,KTE,Women's Kumite +68kg Final,W.O68KG-------------.FNL-,BERULTSEVA Sofya,A,W,2000-11-06,,0,,2026-09-20T16:50
Kazakhstan,KAZ,ME_SILVER,Karate,KTE,Women's Kumite -61kg Final,W.61KG--------------.FNL-,KANAY Assel,A,W,2001-05-25,,0,,2026-09-21T17:25
Kazakhstan,KAZ,ME_BRONZE,Karate,KTE,Men's Kumite -75kg Final,M.75KG--------------.FNL-,AZHIKANOV Nurkanat,A,M,2001-02-23,,0,,2026-09-22T15:30
Kazakhstan,KAZ,ME_BRONZE,Karate,KTE,Women's Kumite -55kg Final,W.55KG--------------.FNL-,SAMASHEVA Bella,A,W,2004-09-22,,0,,2026-09-22T14:15
Kazakhstan,KAZ,ME_GOLD,Mixed Martial Arts,MMA,Men's Modern -71kg Final,M.M71KG-------------.FNL-,SHINBAYEV Kadyrbek,A,M,2004-02-08,,0,,2026-09-22T16:04
Kazakhstan,KAZ,ME_GOLD,Mixed Martial Arts,MMA,Men's Traditional  -77kg Final,M.T77KG-------------.FNL-,BURKUTALIN Yerkingali,A,M,1998-05-11,,0,,2026-09-22T14:34
Kazakhstan,KAZ,ME_BRONZE,Mixed Martial Arts,MMA,Men's Traditional  -65kg Final,M.T65KG-------------.FNL-,ADILOV Sanzhar,A,M,1996-05-20,,0,,2026-09-21T11:30
Kazakhstan,KAZ,ME_BRONZE,Modern Pentathlon,MPN,Men's Team,M.TEAM--------------.----,Kazakhstan,T,M,,,3,ABDRAIMOV Temirlan / VARYOKHIN Tikhon / CHUVASHOV Lev,2026-09-20T17:10
Kazakhstan,KAZ,ME_BRONZE,Triathlon,TRI,Men's Individual,M.OLYMPIC-----------.----,ZHANABAY Arlan,A,M,2005-12-02,8,0,,2026-09-20T00:00
Republic of Korea,KOR,ME_GOLD,Basketball,BKB,Men,M.TEAM5-------------.----,Republic of Korea,T,M,,,12,LEE Hyunjung / CHOI Junyong / BYEON Junhyeong / LEE Junghyun / YU Kisang / LEE Woosuk / MOON Jeonghyeon / YEO Jun Seok / MOON Yuhyeon / JANG Jaeseok / LEE Seounghyun / EDI Daniel,2026-09-20T19:40
Republic of Korea,KOR,ME_BRONZE,Cycling Road,CRD,Women's Individual Time Trial,W.TT----------------.----,SHIN Jieun,A,W,2001-10-10,,0,,2026-09-20T00:00
Republic of Korea,KOR,ME_GOLD,Fencing,FEN,Women's Épée Individual,W.EPEE--------------.----,SONG Sera,A,W,1993-09-06,,0,,2026-09-22T19:54
Republic of Korea,KOR,ME_BRONZE,Fencing,FEN,Men's Foil Individual,M.FOIL--------------.----,YOUN Jeonghyun,A,M,2001-01-05,,0,,2026-09-22T19:38
Republic of Korea,KOR,ME_BRONZE,Mixed Martial Arts,MMA,Women's Modern -54kg Final,W.M54KG-------------.FNL-,LEE Bomi,A,W,1999-01-02,,0,,2026-09-21T11:20
Republic of Korea,KOR,ME_GOLD,Modern Pentathlon,MPN,Men's Team,M.TEAM--------------.----,Republic of Korea,T,M,,,3,JUN Woongtae / LEE Jonghyeon / SEO Changwan,2026-09-20T17:10
Republic of Korea,KOR,ME_GOLD,Modern Pentathlon,MPN,Women's Individual,W.INDIVID-----------.----,SEONG Seungmin,A,W,2003-05-06,,0,,2026-09-20T12:13
Republic of Korea,KOR,ME_SILVER,Modern Pentathlon,MPN,Men's Individual,M.INDIVID-----------.----,JUN Woongtae,A,M,1995-07-29,,0,,
Republic of Korea,KOR,ME_SILVER,Modern Pentathlon,MPN,Women's Team,W.TEAM--------------.----,Republic of Korea,T,W,,,3,SEONG Seungmin / KIM Unju / SHIN Sumin,2026-09-20T16:45
Republic of Korea,KOR,ME_BRONZE,Modern Pentathlon,MPN,Men's Individual,M.INDIVID-----------.----,LEE Jonghyeon,A,M,1998-05-22,,0,,
Republic of Korea,KOR,ME_SILVER,Shooting,SHO,10m Air Rifle Mixed Team,X.ARMT--------------.----,Republic of Korea,T,X,,,2,BAN Hyojin / PARK Hajun,2026-09-22T12:35
Republic of Korea,KOR,ME_BRONZE,Shooting,SHO,10m Air Rifle Men Team,M.ARTM--------------.----,Republic of Korea,T,M,,,3,SHIN Minki / GWON Hyeopjun / PARK Hajun,2026-09-21T11:19
Republic of Korea,KOR,ME_BRONZE,Shooting,SHO,10m Air Rifle Women Individual,W.ARW---------------.----,BAN Hyojin,A,W,2007-09-20,1205,0,,2026-09-20T15:10
Republic of Korea,KOR,ME_GOLD,Swimming,SWM,Men's 50m Freestyle,M.50MFR-------------.----,KIM Youngbeom,A,M,2006-03-31,,0,,2026-09-21T17:12
Republic of Korea,KOR,ME_SILVER,Swimming,SWM,Men's 100m Freestyle,M.100MFR------------.----,KIM Youngbeom,A,M,2006-03-31,,0,,2026-09-20T17:53
Republic of Korea,KOR,ME_BRONZE,Swimming,SWM,Men's 100m Backstroke,M.100MBA------------.----,LEE Juho,A,M,1995-01-23,,0,,2026-09-20T18:13
Republic of Korea,KOR,ME_BRONZE,Swimming,SWM,Men's 100m Freestyle,M.100MFR------------.----,HWANG Sunwoo,A,M,2003-05-21,,0,,2026-09-20T17:53
Republic of Korea,KOR,ME_BRONZE,Swimming,SWM,Men's 4 x 100m Medley Relay,M.4X100MMD----------.----,Republic of Korea,T,M,,,10,YANG Jaehoon / CHO Sung Jae / KIM Jihun / YOON Jihwan / HWANG Sunwoo / KIM Woomin / HWANG Sunwoo / LEE Juho / KIM Youngbeom / CHOI Dongyeol,2026-09-22T18:25
Republic of Korea,KOR,ME_BRONZE,Swimming,SWM,Men's 4 x 200m Freestyle Relay,M.4X200MFR----------.----,Republic of Korea,T,M,,,7,YANG Jaehoon / KIM Junwoo / KIM Minseop / HWANG Sunwoo / KIM Youngbeom / KIM Woomin / LEE Hojoon,2026-09-21T18:13
Republic of Korea,KOR,ME_BRONZE,Swimming,SWM,Men's 50m Backstroke,M.50MBA-------------.----,YOON Jihwan,A,M,2006-01-30,,0,,2026-09-21T17:00
Republic of Korea,KOR,ME_BRONZE,Swimming,SWM,Men's 50m Freestyle,M.50MFR-------------.----,JI Yuchan,A,M,2002-08-24,,0,,2026-09-21T17:12
Republic of Korea,KOR,ME_BRONZE,Swimming,SWM,Women's 50m Backstroke,W.50MBA-------------.----,KIM Seungwon,A,W,2010-01-01,,0,,2026-09-21T17:06
Republic of Korea,KOR,ME_GOLD,Teqball,TEQ,Men's Singles,M.SINGLES-----------.----,LEE Junsuk,A,M,1999-02-19,,0,,2026-09-20T15:40
Republic of Korea,KOR,ME_BRONZE,Soft Tennis,TST,Men's Team,M.TEAM--------------.----,Republic of Korea,T,M,,,5,KIM Jinwoong / LEE Hyungwon / PARK Jaekyu / KIM Hyunsoo / LEE Haneul,2026-09-20T11:30
Republic of Korea,KOR,ME_BRONZE,Soft Tennis,TST,Women's Team,W.TEAM--------------.----,Republic of Korea,T,W,,,5,EOM Yejin / KIM Hansul / KIM Yeon-hwa / HWANG Jeongmi / LEE Sujin,2026-09-20T09:00
Republic of Korea,KOR,ME_BRONZE,Soft Tennis,TST,Mixed Doubles,X.DOUBLES-----------.----,PARK Jaekyu / KIM Yeon-hwa,D,X,,,2,PARK Jaekyu / KIM Yeon-hwa,2026-09-21T15:30
Republic of Korea,KOR,ME_BRONZE,Wushu,WSU,Men's Taijiquan & Taijijian,M.TAIJ--------------.FNL-,AN Hyeon-gi,A,M,1998-06-03,,0,,2026-09-21
Kuwait,KUW,ME_GOLD,Karate,KTE,Men's Kumite -60kg Final,M.60KG--------------.FNL-,SHAABAN Abdullah,A,M,1994-06-12,,0,,2026-09-20T16:40
Kuwait,KUW,ME_BRONZE,Karate,KTE,Men's Individual Kata Final,M.KATA--------------.FNL-,ALMOSAWI Sayed Mohammed,A,M,1995-05-12,,0,,2026-09-21T11:10
Kuwait,KUW,ME_BRONZE,Teqball,TEQ,Men's Doubles,M.DOUBLES-----------.----,AHMAD Basel / ALQATTAN Abdulwahab,D,M,,,2,AHMAD Basel / ALQATTAN Abdulwahab,2026-09-20T11:30
Kyrgyzstan,KGZ,ME_BRONZE,Mixed Martial Arts,MMA,Men's Modern -60kg Final,M.M60KG-------------.FNL-,KANYBEK UULU Dastan,A,M,2003-10-20,,0,,2026-09-21T11:00
Kyrgyzstan,KGZ,ME_BRONZE,Mixed Martial Arts,MMA,Men's Modern -71kg Final,M.M71KG-------------.FNL-,DUISHEEV Yryskeldi,A,M,2001-09-21,,0,,2026-09-21T11:10
Kyrgyzstan,KGZ,ME_BRONZE,Mixed Martial Arts,MMA,Men's Traditional  -77kg Final,M.T77KG-------------.FNL-,ZHANYBEK UULU Syimyk,A,M,1999-10-13,,0,,2026-09-21T12:20
Lebanon,LBN,ME_SILVER,Teqball,TEQ,Men's Doubles,M.DOUBLES-----------.----,ARABI Ahmad Kassem / HAFEZ Mohamad,D,M,,,2,ARABI Ahmad Kassem / HAFEZ Mohamad,2026-09-20T17:50
Lebanon,LBN,ME_BRONZE,Teqball,TEQ,Women's Doubles,W.DOUBLES-----------.----,CHEDID Maria / DANDAL Kamar,D,W,,,2,CHEDID Maria / DANDAL Kamar,2026-09-19T10:30
"Macao, China",MAC,ME_SILVER,Karate,KTE,Men's Individual Kata Final,M.KATA--------------.FNL-,FONG Man Hou,A,M,2001-11-22,,0,,2026-09-21T17:05
"Macao, China",MAC,ME_GOLD,Wushu,WSU,Men's Changquan,M.CHAN--------------.FNL-,KUONG Chi Hin,A,M,2004-02-27,,0,,2026-09-20
"Macao, China",MAC,ME_SILVER,Wushu,WSU,Men's Changquan,M.CHAN--------------.FNL-,SONG Chi Kuan,A,M,1997-12-23,,0,,2026-09-20
"Macao, China",MAC,ME_SILVER,Wushu,WSU,Women's Changquan,W.CHAN--------------.FNL-,SOU Cho Man,A,W,1997-07-02,,0,,2026-09-21
Malaysia,MAS,ME_GOLD,Karate,KTE,Women's Kumite -55kg Final,W.55KG--------------.FNL-,ROBERT Adeola Fay,A,W,2006-02-07,,0,,2026-09-22T16:20
Malaysia,MAS,ME_BRONZE,Karate,KTE,Men's Kumite -55kg Final,M.55KG--------------.FNL-,KALIANA SUNDRAM Thevendran,A,M,2004-02-23,,0,,2026-09-20T15:30
Malaysia,MAS,ME_BRONZE,Karate,KTE,Men's Kumite -60kg Final,M.60KG--------------.FNL-,HARI SANKAR Sureeya Sankar,A,M,2002-06-07,,0,,2026-09-20T16:00
Malaysia,MAS,ME_BRONZE,Wushu,WSU,Women's Nanquan & Nandao,W.NANG--------------.FNL-,TAN Cheong Min,A,W,1998-08-20,,0,,2026-09-22
Mongolia,MGL,ME_BRONZE,Cycling Road,CRD,Men's Individual Time Trial,M.TT----------------.----,SAINBAYAR Jambaljamts,A,M,1996-09-04,6,0,,2026-09-20T00:00
Myanmar,MYA,ME_GOLD,Teqball,TEQ,Women's Singles,W.SINGLES-----------.----,KHIN HNIN Wai,A,W,2001-05-17,,0,,2026-09-20T15:00
Myanmar,MYA,ME_SILVER,Teqball,TEQ,Women's Doubles,W.DOUBLES-----------.----,HSU MON Aung / PHYU PHYU Than,D,W,,,2,HSU MON Aung / PHYU PHYU Than,2026-09-20T17:10
Myanmar,MYA,ME_BRONZE,Teqball,TEQ,Men's Singles,M.SINGLES-----------.----,SAW Friday,A,M,1990-04-13,,0,,2026-09-20T11:00
Pakistan,PAK,ME_BRONZE,Cricket,CKT,Women,W.TEAM--------------.----,Pakistan,T,W,,,14,RIAZ Aliya / NASEER Eman / ZAFAR Ayesha / JABEEN Saira / ZULFIQAR Shawaal / FATIMA Eyman / HANI Umme / HASSAN Tuba / SUNDHU Nashra / RIASAT Momina / FEROZA Gull / KHAN Fatima Sana / BILAL Humna / RUBAB Tasmia,2026-09-22T09:00
Pakistan,PAK,ME_BRONZE,Mixed Martial Arts,MMA,Men's Modern -60kg Final,M.M60KG-------------.FNL-,KHAN Asim,A,M,2000-10-09,,0,,2026-09-21T11:50
Philippines,PHI,ME_BRONZE,Karate,KTE,Women's Team Kata Final,W.TEAM--------------.FNL-,Philippines,T,W,,,3,VEGUILLAS Samantha Emmanuelle / ARROGANTE Ysabielle / TORRES Rebecca Cyril,2026-09-22T10:30
Philippines,PHI,ME_SILVER,Mixed Martial Arts,MMA,Men's Traditional  -65kg Final,M.T65KG-------------.FNL-,SACLAG Jean Claude,A,M,1994-09-25,,0,,2026-09-22T15:47
Philippines,PHI,ME_BRONZE,Mixed Martial Arts,MMA,Men's Traditional  -77kg Final,M.T77KG-------------.FNL-,ALVAREZ Carlos,A,M,1999-04-05,,0,,2026-09-21T12:30
Philippines,PHI,ME_BRONZE,Soft Tennis,TST,Women's Team,W.TEAM--------------.----,Philippines,T,W,,,5,CATINDIG Princess / MANALAC Noelle / SANOSA Christy / SALAZAR Shyryn / PAAS Hilary,2026-09-20T09:00
Qatar,QAT,ME_SILVER,Karate,KTE,Men's Kumite -60kg Final,M.60KG--------------.FNL-,ABDELHAMID Abdelrahman,A,M,2006-10-01,,0,,2026-09-20T16:40
Qatar,QAT,ME_BRONZE,Karate,KTE,Men's Kumite -84kg Final,M.84KG--------------.FNL-,BABIKR Abdulla,A,M,2004-01-04,,0,,2026-09-22T11:30
Saudi Arabia,KSA,ME_BRONZE,Karate,KTE,Men's Kumite -60kg Final,M.60KG--------------.FNL-,ALBASHER Saud Abdulaziz B,A,M,1997-09-06,,0,,2026-09-20T15:50
Saudi Arabia,KSA,ME_BRONZE,Karate,KTE,Women's Kumite +68kg Final,W.O68KG-------------.FNL-,MOSTAFA Dina Ahmed S,A,W,2003-12-31,,0,,2026-09-20T16:20
Singapore,SGP,ME_SILVER,Fencing,FEN,Women's Épée Individual,W.EPEE--------------.----,KIRIA Tikanah Abdul Rahman,A,W,2000-06-25,,0,,2026-09-22T19:54
Singapore,SGP,ME_GOLD,Mixed Martial Arts,MMA,Women's Traditional -60kg Final,W.T60KG-------------.FNL-,TEO Hui Hoon,A,W,1989-11-11,,0,,2026-09-22T15:30
Singapore,SGP,ME_SILVER,Swimming,SWM,Women's 1500m Freestyle,W.1500MFR-----------.----,GAN Ching Hwee,A,W,2003-07-22,,0,,2026-09-20T17:18
Singapore,SGP,ME_SILVER,Swimming,SWM,Women's 400m Freestyle,W.400MFR------------.----,GAN Ching Hwee,A,W,2003-07-22,,0,,2026-09-22T18:02
Singapore,SGP,ME_BRONZE,Wushu,WSU,Women's Taijiquan & Taijijian,W.TAIJ--------------.FNL-,LAW Zeanne Zhi Ning,A,W,2005-10-11,,0,,2026-09-20
Sri Lanka,SRI,ME_SILVER,Cricket,CKT,Women,W.TEAM--------------.----,Sri Lanka,T,W,,,15,KARUNARATNE Hansima / WITHARANA Imesha Dulani / DISSANAYAKA SAMARAWICKRAM HM / EDIRIMUNI Sanjana Kavindi De Silva / ATHAPATHTHU MUDIYANSELAGE CJK / WALIKONTHAGEI Kaveesha Dilhari / DASANAYAKA Sugandika Manel Kumari / MEEPAGE Nimasha Madushani / HEWA MUNASINHAGE CPM / SERAM SENEVIRATHNE EDIRIS KN / GAMAACHCHI WITHANAGE HMP / SANJEEWANI Anushka / HEWA LANKA GEEGANAGE RS / THATUWEL ARAWE GEDARA MAB / HIKKADUWA GAMAGE Kawya Kavindi,2026-09-22T14:00
Syrian Arab Republic,SYR,ME_BRONZE,Karate,KTE,Men's Kumite -75kg Final,M.75KG--------------.FNL-,BANI ALMARJEH Fawaz,A,M,2007-01-10,,0,,2026-09-22T15:40
Chinese Taipei,TPE,ME_BRONZE,Karate,KTE,Men's Kumite -67kg Final,M.67KG--------------.FNL-,SHIH Cheng-chung,A,M,2000-08-13,,0,,2026-09-21T14:15
Chinese Taipei,TPE,ME_BRONZE,Karate,KTE,Men's Kumite -84kg Final,M.84KG--------------.FNL-,CHUNG Meng-yu,A,M,2003-06-09,,0,,2026-09-22T11:20
Chinese Taipei,TPE,ME_BRONZE,Karate,KTE,Women's Individual Kata Final,W.KATA--------------.FNL-,CHIEN Hui-hsuan,A,W,1991-09-27,,0,,2026-09-20T11:20
Chinese Taipei,TPE,ME_BRONZE,Karate,KTE,Women's Team Kata Final,W.TEAM--------------.FNL-,Chinese Taipei,T,W,,,3,TIEN Hsin-erh / HUNG Chih-hsuan / CHIEN Hui-hsuan,2026-09-22T10:40
Chinese Taipei,TPE,ME_GOLD,Soft Tennis,TST,Mixed Doubles,X.DOUBLES-----------.----,YU Kai-wen / HUANG Shih-yuan,D,X,,,2,YU Kai-wen / HUANG Shih-yuan,2026-09-21T17:00
Chinese Taipei,TPE,ME_SILVER,Soft Tennis,TST,Men's Team,M.TEAM--------------.----,Chinese Taipei,T,M,,,5,YU Kai-wen / LIN Wei-chieh / CHEN Po-yi / CHEN Yu-hsun / CHANG Yu-sung,2026-09-20T17:15
Chinese Taipei,TPE,ME_SILVER,Soft Tennis,TST,Women's Team,W.TEAM--------------.----,Chinese Taipei,T,W,,,5,ZHOU Yan-zhen / CHIANG Min-yu / LO Shu-ting / HSU Chiao-ying / HUANG Shih-yuan,2026-09-20T14:00
Chinese Taipei,TPE,ME_SILVER,Wushu,WSU,Men's Taijiquan & Taijijian,M.TAIJ--------------.FNL-,SUN Chia-hung,A,M,1996-05-31,,0,,2026-09-21
Chinese Taipei,TPE,ME_BRONZE,Wushu,WSU,Men's Nanquan & Nangun,M.NANG--------------.FNL-,LIU Chang-min,A,M,2001-08-09,,0,,2026-09-22
Tajikistan,TJK,ME_BRONZE,Karate,KTE,Men's Kumite -55kg Final,M.55KG--------------.FNL-,MUMINOV Makhsatullo,A,M,2008-07-23,,0,,2026-09-20T15:40
Tajikistan,TJK,ME_GOLD,Mixed Martial Arts,MMA,Men's Modern -60kg Final,M.M60KG-------------.FNL-,UMAROV Mirzobek,A,M,1996-10-04,,0,,2026-09-22T14:00
Tajikistan,TJK,ME_GOLD,Mixed Martial Arts,MMA,Men's Traditional  -65kg Final,M.T65KG-------------.FNL-,RAJABOV Otabek,A,M,2002-12-18,,0,,2026-09-22T15:47
Tajikistan,TJK,ME_SILVER,Mixed Martial Arts,MMA,Men's Modern -71kg Final,M.M71KG-------------.FNL-,KHURSHEDZODA Behruz,A,M,2001-09-07,,0,,2026-09-22T16:04
Thailand,THA,ME_SILVER,Karate,KTE,Women's Kumite +68kg Final,W.O68KG-------------.FNL-,BUTSUWAN Maneevan,A,W,2000-02-24,,0,,2026-09-20T16:50
Thailand,THA,ME_GOLD,Mixed Martial Arts,MMA,Women's Modern -54kg Final,W.M54KG-------------.FNL-,PHATTARABOONSORN Kanjutha,A,W,1996-06-14,,0,,2026-09-22T14:17
Thailand,THA,ME_GOLD,Teqball,TEQ,Men's Doubles,M.DOUBLES-----------.----,THAOSIRI Sorrasak / CHANLIANG Jirati,D,M,,,2,THAOSIRI Sorrasak / CHANLIANG Jirati,2026-09-20T17:50
Thailand,THA,ME_GOLD,Teqball,TEQ,Women's Doubles,W.DOUBLES-----------.----,KUNTATONG Jutatip / WONGKHAMCHAN Suphawadi,D,W,,,2,KUNTATONG Jutatip / WONGKHAMCHAN Suphawadi,2026-09-20T17:10
Thailand,THA,ME_GOLD,Teqball,TEQ,Mixed Doubles,X.DOUBLES-----------.----,DEJAROEN Phakpong / WONGKHAMCHAN Suphawadi,D,X,,,2,DEJAROEN Phakpong / WONGKHAMCHAN Suphawadi,2026-09-20T16:20
Thailand,THA,ME_BRONZE,Volleyball,VVO,Women's Finals,W.TEAM6-------------.FNL-,Thailand,T,W,,,12,JANTHAWISUT Sasipapron / KUNMUEANG Kanyarat / JAISAEN Natthanicha / KOKRAM Pimpichaya / PANNOY Piyanut / NUEKJANG Thatdao / SEETALOED Warisara / KAMULTHALA Kaewkalaya / KONGYOT Ajcharaporn / MOKSRI Chatchu-on / KHAMWONG Kalyarat / GUEDPARD Pornpun,2026-09-22T16:00
Turkmenistan,TKM,ME_SILVER,Karate,KTE,Men's Kumite -75kg Final,M.75KG--------------.FNL-,NAZMYRADOV Davut,A,M,2003-12-04,,0,,2026-09-22T16:00
Uzbekistan,UZB,ME_GOLD,Karate,KTE,Men's Kumite -67kg Final,M.67KG--------------.FNL-,RASHIDOV Abdul Vakhkhob,A,M,2005-12-31,,0,,2026-09-21T17:15
Uzbekistan,UZB,ME_SILVER,Karate,KTE,Men's Kumite -55kg Final,M.55KG--------------.FNL-,KHALIMOV Khumoyunmirzo,A,M,2008-03-11,,0,,2026-09-20T16:30
Uzbekistan,UZB,ME_SILVER,Mixed Martial Arts,MMA,Men's Modern -60kg Final,M.M60KG-------------.FNL-,ATAMURATOV Firdavs,A,M,2008-07-27,,0,,2026-09-22T14:00
Uzbekistan,UZB,ME_SILVER,Mixed Martial Arts,MMA,Women's Traditional -60kg Final,W.T60KG-------------.FNL-,KHIOLA SOBIROVA,A,W,1996-08-13,,0,,2026-09-22T15:30
Uzbekistan,UZB,ME_BRONZE,Mixed Martial Arts,MMA,Men's Modern -71kg Final,M.M71KG-------------.FNL-,SHAVKATOV Nodirbek,A,M,2003-06-07,,0,,2026-09-21T12:40
Uzbekistan,UZB,ME_SILVER,Wushu,WSU,Women's Nanquan & Nandao,W.NANG--------------.FNL-,LATISHEVA Darya,A,W,2000-03-22,,0,,2026-09-22
Vietnam,VIE,ME_GOLD,Karate,KTE,Women's Team Kata Final,W.TEAM--------------.FNL-,Vietnam,T,W,,,3,NGUYEN Ngoc Tram / BUI Ngoc Nhi / HOANG Thi Thu Uyen,2026-09-22T15:50
Vietnam,VIE,ME_BRONZE,Karate,KTE,Women's Kumite -68kg Final,W.68KG--------------.FNL-,NGUYEN Thi Dieu Ly,A,W,2005-11-09,,0,,2026-09-21T16:45
Vietnam,VIE,ME_BRONZE,Karate,KTE,Women's Individual Kata Final,W.KATA--------------.FNL-,BUI Ngoc Nhi,A,W,2007-10-28,,0,,2026-09-20T11:30
Vietnam,VIE,ME_BRONZE,Teqball,TEQ,Mixed Doubles,X.DOUBLES-----------.----,NGUYEN Hoang Minh Tan / TRINH Gia Nghi,D,X,,,2,NGUYEN Hoang Minh Tan / TRINH Gia Nghi,2026-09-20T10:30
