用户ID,平台,设备档位,单次使用时长秒,周会话次数,是否付费
U002456,安卓,低端,91,6,0
U002457,安卓,低端,2101,5,0
U002458,iOS,高端,436,6,0
U002459,安卓,低端,1231,2,0
U002460,安卓,中端,227,6,0
U002461,iOS,中端,375,14,0
U002462,安卓,中端,393,5,0
U002463,安卓,低端,31,4,1
U002464,安卓,中端,1151,6,0
U002465,安卓,低端,191,4,0
U002466,安卓,中端,363,6,0
U002467,安卓,中端,79,5,0
U002468,安卓,中端,74,4,0
U002469,iOS,低端,2241,6,0
U002470,iOS,中端,183,9,0
U002471,iOS,高端,164,6,0
U002472,iOS,高端,795,9,0
U002473,安卓,高端,195,5,0
U002474,安卓,低端,28,6,0
U002475,安卓,低端,977,7,0
U002476,iOS,高端,724,8,0
U002477,安卓,中端,604,5,0
U002478,安卓,低端,52,3,0
U002479,iOS,低端,533,9,0
U002480,iOS,中端,621,9,0
U002481,安卓,低端,634,8,0
U002482,安卓,低端,88,6,0
U002483,安卓,中端,51,6,0
U002484,iOS,低端,816,4,0
U002485,安卓,低端,407,4,1
U002486,安卓,中端,600,3,0
U002487,iOS,中端,416,3,0
U002488,安卓,中端,411,6,0
U002489,安卓,低端,161,4,0
U002490,安卓,高端,62,7,0
U002491,iOS,低端,52,10,0
U002492,iOS,中端,168,13,0
U002493,安卓,低端,359,6,0
U002494,iOS,低端,495,3,0
U002495,安卓,低端,227,7,0
U002496,安卓,低端,108,5,0
U002497,iOS,高端,218,8,0
U002498,安卓,低端,5,5,0
U002499,安卓,高端,78,5,0
U002500,iOS,中端,422,6,0
U002501,安卓,高端,95,2,0
U002502,iOS,低端,823,9,0
U002503,安卓,中端,79,4,0
U002504,安卓,中端,204,4,0
U002505,iOS,中端,466,9,0
U002506,安卓,低端,285,5,0
U002507,安卓,低端,490,6,0
U002508,安卓,中端,669,5,0
U002509,iOS,中端,212,12,0
U002510,iOS,高端,362,6,1
U002511,iOS,中端,239,5,0
U002512,iOS,高端,276,9,0
U002513,iOS,中端,76,13,0
U002514,安卓,低端,2412,7,1
U002515,安卓,低端,70,2,0
U002516,安卓,低端,1246,2,0
U002517,iOS,高端,3194,9,0
U002518,安卓,低端,82,4,0
U002519,iOS,中端,221,6,0
U002520,安卓,中端,37,4,0
U002521,安卓,低端,44,7,0
U002522,安卓,中端,118,4,0
U002523,安卓,低端,52,6,1
U002524,安卓,低端,242,5,0
U002525,安卓,低端,88,6,0
U002526,iOS,高端,245,16,1
U002527,安卓,低端,714,6,0
U002528,安卓,低端,444,6,0
U002529,安卓,低端,170,3,0
U002530,安卓,低端,31,5,0
U002531,安卓,中端,146,7,0
U002532,安卓,中端,98,4,0
U002533,安卓,中端,72,9,0
U002534,安卓,高端,139,6,0
U002535,安卓,中端,1843,4,0
U002536,安卓,低端,719,10,0
U002537,安卓,中端,84,4,0
U002538,安卓,中端,253,7,1
U002539,安卓,中端,1413,8,0
U002540,安卓,低端,216,4,0
U002541,安卓,低端,1384,7,0
U002542,iOS,中端,69,6,0
U002543,安卓,中端,238,6,0
U002544,iOS,中端,60,11,0
U002545,安卓,低端,381,5,0
U002546,安卓,中端,862,3,0
U002547,安卓,中端,182,6,0
U002548,安卓,高端,414,5,0
U002549,iOS,高端,88,5,0
U002550,iOS,高端,495,5,0
U002551,安卓,中端,972,4,1
U002552,安卓,低端,125,2,0
U002553,安卓,低端,13,11,0
U002554,安卓,中端,1329,4,0
U002555,安卓,低端,244,6,0
U002556,安卓,低端,236,4,0
U002557,安卓,低端,117,2,0
U002558,iOS,中端,802,8,0
U002559,iOS,中端,970,4,0
U002560,安卓,高端,638,6,0
U002561,iOS,中端,223,11,0
U002562,安卓,中端,26,6,0
U002563,iOS,中端,410,6,0
U002564,iOS,中端,5019,7,0
U002565,安卓,低端,45,9,0
U002566,安卓,低端,3942,6,0
U002567,安卓,低端,54,5,0
U002568,iOS,中端,197,11,0
U002569,安卓,中端,96,5,0
U002570,安卓,中端,798,4,0
U002571,iOS,中端,218,7,0
U002572,安卓,中端,194,6,0
U002573,iOS,高端,506,5,0
U002574,安卓,中端,157,7,1
U002575,iOS,高端,218,4,0
U002576,安卓,中端,784,6,0
U002577,安卓,低端,436,6,0
U002578,安卓,中端,172,6,0
U002579,安卓,中端,1180,6,0
U002580,iOS,高端,580,10,0
U002581,安卓,中端,120,6,0
U002582,安卓,低端,50,3,0
U002583,安卓,中端,527,6,0
U002584,安卓,低端,34,6,0
U002585,安卓,中端,1099,7,0
U002586,iOS,高端,1408,5,0
U002587,iOS,中端,164,8,1
U002588,安卓,中端,163,6,0
U002589,iOS,高端,200,7,0
U002590,iOS,高端,747,7,0
U002591,安卓,中端,2407,7,0
U002592,安卓,中端,294,6,0
U002593,iOS,中端,34,8,0
U002594,iOS,中端,58,5,0
U002595,iOS,中端,97,6,0
U002596,安卓,中端,123,7,0
U002597,安卓,高端,229,3,0
U002598,iOS,中端,339,8,0
U002599,iOS,中端,552,7,0
U002600,安卓,中端,562,6,0
U002601,iOS,中端,30,9,0
U002602,安卓,低端,85,5,0
U002603,安卓,低端,434,4,0
U002604,iOS,低端,248,6,0
U002605,iOS,中端,906,8,0
U002606,iOS,中端,111,8,0
U002607,安卓,中端,52,9,0
U002608,安卓,低端,94,5,0
U002609,iOS,中端,241,9,0
U002610,安卓,中端,132,5,0
U002611,iOS,低端,363,5,0
U002612,安卓,中端,12,5,0
U002613,iOS,高端,310,9,0
U002614,安卓,中端,107,2,0
U002615,安卓,中端,861,5,0
U002616,安卓,低端,176,4,0
U002617,安卓,中端,316,5,0
U002618,安卓,低端,163,6,0
U002619,iOS,高端,397,5,0
U002620,安卓,高端,156,4,0
U002621,安卓,中端,65,8,0
U002622,安卓,中端,211,5,0
U002623,安卓,低端,140,5,0
U002624,iOS,低端,693,13,0
U002625,安卓,低端,1061,3,0
U002626,iOS,中端,3363,6,0
U002627,安卓,低端,723,5,0
U002628,安卓,中端,876,6,1
U002629,iOS,中端,4746,6,0
U002630,安卓,中端,62,3,0
U002631,安卓,中端,567,9,0
U002632,iOS,高端,35,10,0
U002633,iOS,高端,144,5,0
U002634,安卓,中端,776,4,0
U002635,安卓,高端,2185,6,0
U002636,安卓,中端,383,3,0
U002637,安卓,中端,475,2,0
U002638,iOS,中端,4642,5,0
U002639,安卓,低端,109,6,0
U002640,iOS,低端,120,9,0
U002641,安卓,低端,667,8,0
U002642,安卓,中端,34,7,0
U002643,安卓,低端,209,3,0
U002644,安卓,中端,359,5,0
U002645,安卓,中端,160,6,0
U002646,安卓,低端,196,9,0
U002647,iOS,低端,186,8,0
U002648,iOS,中端,142,8,0
U002649,安卓,中端,659,7,0
U002650,iOS,低端,132,8,0
U002651,iOS,高端,470,7,0
U002652,安卓,低端,295,4,0
U002653,iOS,高端,152,3,0
U002654,iOS,中端,493,2,0
U002655,安卓,低端,772,4,0
U002656,安卓,中端,253,4,0
U002657,安卓,中端,1211,8,0
U002658,iOS,高端,239,7,0
U002659,安卓,中端,804,2,0
U002660,安卓,低端,24,5,0
U002661,iOS,低端,214,3,0
U002662,安卓,中端,98,4,0
U002663,安卓,低端,261,6,0
U002664,安卓,低端,131,4,0
U002665,安卓,低端,1315,5,0
U002666,安卓,低端,93,2,0
U002667,安卓,低端,935,5,0
U002668,安卓,低端,18,3,0
U002669,iOS,中端,584,5,0
U002670,安卓,中端,219,6,0
U002671,安卓,中端,43,3,0
U002672,iOS,高端,2386,9,0
U002673,iOS,高端,271,8,0
U002674,安卓,中端,103,4,0
U002675,iOS,高端,156,9,0
U002676,iOS,中端,1019,6,0
U002677,安卓,低端,218,8,0
U002678,安卓,中端,87,2,0
U002679,安卓,低端,124,4,0
U002680,安卓,中端,228,8,0
U002681,安卓,低端,128,4,0
U002682,安卓,中端,125,4,0
U002683,iOS,中端,74,6,0
U002684,安卓,高端,193,3,0
U002685,安卓,低端,84,3,0
U002686,iOS,中端,281,4,1
U002687,安卓,高端,110,7,0
U002688,安卓,中端,18,4,0
U002689,iOS,中端,459,5,0
U002690,iOS,中端,463,6,0
U002691,iOS,中端,673,7,0
U002692,iOS,中端,434,10,0
U002693,iOS,高端,59,9,0
U002694,iOS,高端,384,7,0
U002695,iOS,高端,476,11,0
U002696,安卓,低端,362,3,0
U002697,安卓,中端,145,5,0
U002698,安卓,中端,226,5,0
U002699,安卓,中端,1872,6,0
U002700,iOS,高端,514,8,0
U002701,安卓,中端,34,4,0
U002702,iOS,中端,317,9,0
U002703,安卓,低端,72,11,0
U002704,iOS,高端,280,7,0
U002705,安卓,中端,184,4,0
U002706,iOS,高端,182,7,0
U002707,安卓,中端,53,6,0
U002708,iOS,中端,292,7,1
U002709,iOS,中端,1086,4,0
U002710,安卓,低端,198,6,0
U002711,iOS,中端,182,4,0
U002712,安卓,低端,24,3,0
U002713,安卓,低端,689,9,0
U002714,iOS,中端,476,8,0
U002715,安卓,中端,321,9,0
U002716,安卓,高端,349,6,0
U002717,iOS,中端,83,8,0
U002718,iOS,中端,68,8,0
U002719,安卓,中端,392,3,0
U002720,安卓,中端,233,5,0
U002721,iOS,中端,183,10,0
U002722,安卓,低端,696,4,1
U002723,安卓,低端,2720,4,0
U002724,iOS,高端,158,7,0
U002725,安卓,高端,57,9,0
U002726,安卓,中端,402,2,0
U002727,iOS,中端,740,6,0
U002728,安卓,中端,95,5,0
U002729,iOS,高端,792,5,0
U002730,安卓,中端,297,6,0
U002731,安卓,高端,79,8,0
U002732,安卓,中端,47,5,0
U002733,安卓,低端,240,4,0
U002734,安卓,低端,212,4,1
U002735,安卓,低端,252,11,0
U002736,iOS,中端,164,8,0
U002737,安卓,中端,280,5,0
U002738,iOS,中端,1211,8,0
U002739,安卓,中端,766,4,0
U002740,iOS,低端,2177,5,0
U002741,iOS,中端,39,6,0
U002742,安卓,中端,1979,9,0
U002743,安卓,低端,3140,8,1
U002744,iOS,低端,313,8,0
U002745,iOS,中端,1358,7,0
U002746,iOS,中端,207,13,0
U002747,安卓,低端,186,4,0
U002748,安卓,中端,56,6,0
U002749,安卓,低端,264,8,0
U002750,iOS,高端,263,10,0
U002751,安卓,低端,376,5,0
U002752,安卓,中端,702,7,0
U002753,安卓,中端,83000,5,0
U002754,安卓,低端,412,5,0
U002755,iOS,中端,760,8,0
U002756,iOS,中端,143,4,0
U002757,安卓,低端,316,9,1
U002758,iOS,中端,208,7,1
U002759,iOS,中端,3036,7,0
U002760,安卓,中端,15,7,0
U002761,iOS,低端,117,7,0
U002762,安卓,低端,145,5,0
U002763,安卓,中端,49,7,0
U002764,安卓,高端,798,5,0
U002765,安卓,中端,886,5,0
U002766,iOS,高端,66,5,0
U002767,安卓,中端,465,9,0
U002768,安卓,中端,259,5,0
U002769,安卓,低端,275,10,0
U002770,安卓,低端,41,12,0
U002771,安卓,低端,75,8,0
U002772,安卓,低端,110,6,0
U002773,安卓,中端,118,8,0
U002774,iOS,中端,197,8,0
U002775,安卓,低端,1064,6,0
U002776,安卓,高端,185,6,0
U002777,安卓,中端,299,5,0
U002778,安卓,低端,401,6,0
U002779,安卓,高端,1016,4,0
U002780,安卓,低端,688,4,0
U002781,安卓,中端,589,10,0
U002782,iOS,高端,71,4,0
U002783,安卓,中端,287,4,0
U002784,安卓,低端,127,4,0
U002785,安卓,中端,277,4,0
U002786,iOS,中端,370,6,0
U002787,iOS,中端,477,9,1
U002788,安卓,中端,173,6,0
U002789,安卓,中端,278,7,0
U002790,iOS,高端,1616,7,0
U002791,iOS,高端,358,6,0
U002792,安卓,低端,428,7,0
U002793,安卓,中端,142,4,0
U002794,iOS,中端,362,7,0
U002795,安卓,中端,521,8,0
U002796,安卓,中端,42,9,0
U002797,安卓,低端,134,5,0
U002798,安卓,中端,933,2,0
U002799,安卓,低端,255,5,0
U002800,iOS,中端,402,8,0
U002801,安卓,低端,1614,4,0
U002802,iOS,低端,62,5,0
U002803,安卓,中端,84,7,0
U002804,iOS,高端,710,9,0
U002805,安卓,低端,350,3,0
U002806,安卓,低端,432,3,0
U002807,安卓,中端,1881,3,1
U002808,安卓,低端,30,8,0
U002809,安卓,低端,437,5,0
U002810,iOS,低端,382,7,0
U002811,安卓,低端,605,4,0
U002812,安卓,低端,534,3,0
U002813,安卓,中端,2258,9,0
U002814,iOS,中端,530,7,0
U002815,iOS,高端,169,10,0
U002816,安卓,高端,443,5,0
U002817,安卓,低端,31,4,1
U002818,iOS,中端,1058,11,0
U002819,安卓,低端,45,7,0
U002820,安卓,低端,174,6,0
U002821,安卓,低端,1270,4,0
U002822,安卓,低端,146,7,0
U002823,iOS,中端,306,9,0
U002824,安卓,中端,120,9,1
U002825,安卓,中端,362,9,0
U002826,安卓,低端,139,1,0
U002827,安卓,高端,4375,5,0
U002828,iOS,高端,513,6,0
U002829,安卓,中端,157,9,0
U002830,安卓,中端,3205,9,0
U002831,安卓,低端,926,7,0
U002832,安卓,中端,3132,6,0
U002833,安卓,中端,73,5,0
U002834,安卓,中端,106,5,0
U002835,iOS,高端,106,6,0
U002836,安卓,低端,162,4,0
U002837,安卓,低端,82,6,0
U002838,安卓,低端,45,6,0
U002839,iOS,中端,933,7,0
U002840,安卓,高端,87,3,0
U002841,iOS,中端,274,5,1
U002842,安卓,低端,272,4,0
U002843,安卓,高端,23,3,0
U002844,安卓,中端,734,4,0
U002845,安卓,高端,576,5,0
U002846,安卓,低端,823,8,0
U002847,安卓,中端,210,4,0
U002848,安卓,中端,161,5,0
U002849,安卓,中端,265,5,0
U002850,安卓,低端,33,5,0
U002851,安卓,中端,784,5,0
U002852,安卓,低端,43,9,0
U002853,安卓,低端,610,9,0
U002854,安卓,低端,93,5,0
U002855,iOS,中端,220,10,0
U002856,安卓,高端,79,2,0
U002857,iOS,低端,96,7,0
U002858,安卓,高端,224,6,0
U002859,安卓,低端,74,4,0
U002860,iOS,中端,91,8,0
U002861,安卓,低端,92,5,0
U002862,安卓,低端,49,4,0
U002863,安卓,中端,942,11,0
U002864,iOS,高端,71,8,1
U002865,安卓,低端,488,2,0
U002866,安卓,中端,148,7,1
U002867,iOS,中端,696,7,0
U002868,iOS,高端,491,4,0
U002869,iOS,高端,123,8,1
U002870,安卓,低端,182,6,0
U002871,安卓,低端,305,6,0
U002872,iOS,中端,821,5,0
U002873,安卓,中端,138,8,0
U002874,安卓,低端,394,5,0
U002875,iOS,低端,315,11,0
U002876,iOS,高端,93,6,0
U002877,安卓,中端,2210,6,0
U002878,iOS,高端,2192,7,0
U002879,安卓,低端,105,7,0
U002880,iOS,中端,72,9,0
U002881,安卓,低端,97,3,0
U002882,安卓,低端,386,6,0
U002883,iOS,中端,468,8,0
U002884,安卓,中端,240,8,0
U002885,安卓,高端,667,4,0
U002886,安卓,高端,177,4,0
U002887,iOS,中端,462,8,0
U002888,安卓,中端,66,3,0
U002889,iOS,高端,1303,9,0
U002890,iOS,中端,639,8,0
U002891,安卓,高端,673,6,0
U002892,iOS,中端,253,7,0
U002893,安卓,高端,506,3,0
U002894,安卓,高端,1618,5,0
U002895,安卓,中端,60,6,0
U002896,iOS,高端,366,7,0
U002897,安卓,低端,173,4,0
U002898,安卓,中端,247,5,0
U002899,安卓,中端,80,6,0
U002900,安卓,中端,8061,6,0
U002901,安卓,低端,264,4,0
U002902,安卓,低端,121,8,0
U002903,安卓,中端,48,11,0
U002904,安卓,中端,94,10,0
U002905,iOS,低端,25,8,0
U002906,安卓,高端,854,4,0
U002907,安卓,中端,113,5,0
U002908,安卓,中端,134,8,0
U002909,安卓,高端,281,5,0
U002910,安卓,低端,425,8,0
U002911,安卓,低端,220,2,0
U002912,安卓,低端,327,4,0
U002913,iOS,中端,1038,5,0
U002914,iOS,高端,507,6,0
U002915,iOS,低端,392,7,0
U002916,iOS,中端,492,6,0
U002917,iOS,低端,470,7,0
U002918,安卓,低端,379,8,0
U002919,安卓,低端,152,4,0
U002920,安卓,中端,1340,5,0
U002921,iOS,高端,412,13,0
U002922,安卓,低端,222,7,0
U002923,安卓,中端,170,5,0
U002924,iOS,低端,292,6,0
U002925,安卓,低端,298,8,0
U002926,安卓,低端,249,6,0
U002927,安卓,高端,154,3,0
U002928,iOS,中端,404,5,0
U002929,iOS,中端,556,5,0
U002930,iOS,高端,470,5,0
U002931,iOS,高端,499,7,0
U002932,安卓,低端,747,6,0
U002933,iOS,中端,625,13,0
U002934,安卓,低端,117,2,0
U002935,iOS,高端,170,7,0
U002936,iOS,中端,231,7,0
U002937,安卓,中端,516,3,0
U002938,安卓,低端,430,7,0
U002939,安卓,低端,597,7,0
U002940,安卓,低端,66,9,0
U002941,安卓,低端,56,5,0
U002942,安卓,中端,236,4,0
U002943,安卓,低端,294,5,0
U002944,安卓,低端,13,8,0
U002945,安卓,低端,576,4,0
U002946,iOS,低端,287,9,0
U002947,安卓,中端,377,7,0
U002948,iOS,高端,1416,8,0
U002949,安卓,中端,97,4,0
U002950,安卓,低端,436,11,0
U002951,iOS,高端,79,5,0
U002952,iOS,中端,94,6,0
U002953,安卓,中端,150,6,0
U002954,安卓,低端,770,8,0
U002955,安卓,低端,438,3,0
U002956,安卓,低端,27,2,0
U002957,安卓,低端,1202,6,0
U002958,安卓,中端,1684,7,0
U002959,安卓,中端,132,3,0
U002960,iOS,中端,505,5,1
U002961,iOS,高端,625,4,0
U002962,安卓,低端,49,4,0
U002963,iOS,中端,873,11,0
U002964,安卓,中端,262,6,0
U002965,iOS,低端,787,7,0
U002966,安卓,中端,1207,3,0
U002967,安卓,中端,45,7,0
U002968,安卓,高端,184,6,0
U002969,安卓,中端,89,9,0
U002970,安卓,低端,450,5,0
U002971,安卓,低端,50,5,0
U002972,iOS,中端,683,6,0
U002973,iOS,中端,216,6,0
U002974,安卓,中端,242,5,0
U002975,安卓,低端,135,2,0
U002976,安卓,低端,230,5,0
U002977,安卓,低端,48,3,0
U002978,安卓,低端,104,7,0
U002979,iOS,高端,663,5,0
U002980,安卓,中端,41,7,0
U002981,安卓,中端,444,5,0
U002982,安卓,中端,41,4,0
U002983,安卓,高端,14,7,0
U002984,安卓,中端,77,6,0
U002985,安卓,中端,284,9,0
U002986,安卓,低端,152,3,0
U002987,安卓,低端,336,12,0
U002988,安卓,中端,291,5,0
U002989,安卓,中端,362,6,0
U002990,安卓,低端,11,6,0
U002991,iOS,高端,2050,5,0
U002992,安卓,中端,553,7,0
U002993,安卓,低端,481,3,0
U002994,安卓,高端,468,2,0
U002995,安卓,低端,343,6,0
U002996,iOS,高端,280,8,0
U002997,安卓,中端,2446,4,0
U002998,安卓,高端,36,5,0
U002999,iOS,低端,498,4,1
U003000,安卓,中端,1225,4,0
U003001,安卓,中端,93,6,0
U003002,iOS,中端,1279,5,0
U003003,安卓,中端,424,4,0
U003004,安卓,中端,41,4,0
U003005,iOS,高端,263,10,0
U003006,安卓,低端,466,9,0
U003007,安卓,低端,515,4,0
U003008,安卓,高端,1290,4,0
U003009,安卓,中端,1195,9,0
U003010,安卓,中端,38,5,0
U003011,安卓,低端,392,5,0
U003012,安卓,低端,146,5,0
U003013,iOS,中端,1397,6,0
U003014,iOS,低端,871,9,0
U003015,安卓,中端,48,10,0
U003016,安卓,低端,1101,5,0
U003017,安卓,低端,60,5,0
U003018,安卓,中端,74,5,0
U003019,安卓,低端,919,7,0
U003020,安卓,中端,204,5,0
U003021,iOS,高端,166,7,0
U003022,安卓,低端,136,3,0
U003023,安卓,中端,125,3,0
U003024,安卓,中端,67,2,0
U003025,iOS,中端,92,12,0
U003026,iOS,高端,440,6,0
U003027,安卓,中端,1374,5,0
U003028,iOS,中端,248,10,0
U003029,安卓,高端,41,5,0
U003030,安卓,中端,468,5,0
U003031,安卓,中端,100,4,0
U003032,安卓,中端,514,7,1
U003033,安卓,中端,1253,6,0
U003034,iOS,高端,348,10,0
U003035,安卓,低端,801,7,0
U003036,iOS,中端,544,7,0
U003037,iOS,中端,1043,7,0
U003038,安卓,高端,120,7,0
U003039,iOS,低端,90,8,0
U003040,安卓,中端,280,4,0
U003041,iOS,中端,252,7,0
U003042,安卓,低端,332,6,0
U003043,iOS,中端,769,4,0
U003044,安卓,中端,160,8,0
U003045,安卓,低端,639,6,0
U003046,安卓,低端,20,6,0
U003047,安卓,中端,1516,6,0
U003048,安卓,低端,267,4,0
U003049,安卓,低端,76,6,0
U003050,安卓,低端,48,7,0
U003051,安卓,低端,293,4,0
U003052,安卓,高端,184,6,0
U003053,安卓,低端,189,4,0
U003054,安卓,中端,1474,4,0
U003055,安卓,中端,642,7,0
U003056,iOS,低端,182,5,0
U003057,安卓,低端,72,10,0
U003058,iOS,高端,560,5,0
U003059,安卓,低端,130,3,0
U003060,iOS,高端,646,7,0
U003061,安卓,中端,86,5,0
U003062,安卓,低端,292,7,0
U003063,iOS,高端,273,2,0
U003064,iOS,高端,679,9,0
U003065,安卓,高端,752,6,0
U003066,安卓,低端,163,8,0
U003067,安卓,中端,729,5,0
U003068,iOS,中端,383,10,0
U003069,安卓,中端,66,1,0
U003070,安卓,低端,434,9,0
U003071,iOS,中端,23,9,0
U003072,iOS,中端,285,5,0
U003073,iOS,中端,304,9,0
U003074,安卓,中端,340,8,0
U003075,安卓,高端,72,5,0
U003076,安卓,中端,238,5,0
U003077,安卓,高端,217,4,0
U003078,安卓,低端,27,5,0
U003079,安卓,中端,1032,7,0
U003080,安卓,低端,17,5,0
U003081,安卓,中端,264,5,0
U003082,安卓,中端,184,3,0
U003083,安卓,高端,86,5,0
U003084,iOS,中端,350,6,1
U003085,安卓,中端,236,10,0
U003086,安卓,高端,3381,5,0
U003087,安卓,低端,293,6,0
U003088,安卓,中端,34,7,0
U003089,iOS,高端,360,8,0
U003090,安卓,低端,1981,8,0
U003091,iOS,中端,389,6,1
U003092,iOS,中端,475,9,0
U003093,安卓,低端,533,9,0
U003094,iOS,中端,129,13,0
U003095,安卓,低端,129,9,0
U003096,iOS,中端,195,8,0
U003097,iOS,中端,5252,8,0
U003098,iOS,中端,711,4,0
U003099,iOS,高端,200,7,1
U003100,安卓,中端,344,3,0
U003101,安卓,中端,240,5,0
U003102,iOS,高端,298,12,0
U003103,安卓,高端,381,4,0
U003104,iOS,低端,262,8,0
U003105,安卓,低端,111,4,0
U003106,iOS,高端,138,10,0
U003107,安卓,高端,229,8,0
U003108,安卓,低端,266,5,0
U003109,安卓,高端,1104,6,0
U003110,安卓,中端,178,4,0
U003111,iOS,中端,261,5,0
U003112,iOS,高端,2707,4,0
U003113,安卓,中端,732,5,0
U003114,iOS,中端,1570,3,1
U003115,安卓,低端,179,6,0
U003116,安卓,低端,495,5,0
U003117,安卓,中端,248,8,0
U003118,安卓,中端,252,5,0
U003119,安卓,高端,143,4,0
U003120,安卓,高端,201,7,0
U003121,iOS,中端,847,7,0
U003122,安卓,低端,49,9,0
U003123,安卓,高端,267,5,0
U003124,iOS,高端,453,12,0
U003125,iOS,中端,99,6,0
U003126,iOS,高端,267,10,0
U003127,安卓,中端,55,3,0
U003128,安卓,中端,312,5,0
U003129,iOS,中端,601,6,0
U003130,安卓,中端,139,5,0
U003131,iOS,高端,670,7,0
U003132,iOS,高端,443,9,0
U003133,安卓,低端,36,4,0
U003134,安卓,低端,67,5,0
U003135,安卓,低端,92,9,0
U003136,iOS,低端,1375,7,0
U003137,iOS,低端,250,12,0
U003138,iOS,高端,282,5,0
U003139,iOS,中端,1296,8,0
U003140,安卓,低端,162,3,0
U003141,安卓,低端,47,4,1
U003142,iOS,中端,636,8,0
U003143,iOS,高端,151,5,0
U003144,安卓,低端,204,6,0
U003145,iOS,中端,586,9,0
U003146,iOS,高端,1811,3,0
U003147,安卓,低端,119,6,0
U003148,安卓,中端,517,6,0
U003149,iOS,中端,1395,3,0
U003150,安卓,中端,113,7,0
U003151,安卓,低端,48,4,0
U003152,安卓,低端,214,8,0
U003153,安卓,高端,82,5,0
U003154,安卓,中端,182,6,0
U003155,iOS,中端,166,8,0
U003156,安卓,低端,123,7,0
U003157,安卓,中端,215,6,0
U003158,iOS,中端,58,10,0
U003159,安卓,低端,67,6,0
U003160,安卓,高端,3154,8,0
U003161,安卓,低端,98,3,0
U003162,安卓,低端,153,8,0
U003163,安卓,中端,739,6,0
U003164,安卓,中端,56,6,0
U003165,安卓,高端,497,3,0
U003166,安卓,中端,513,8,0
U003167,安卓,中端,126,5,0
U003168,iOS,中端,89,12,0
U003169,安卓,中端,1059,2,0
U003170,安卓,低端,4706,10,0
U003171,安卓,中端,93,7,0
U003172,iOS,高端,160,13,0
U003173,安卓,低端,47,4,0
U003174,iOS,中端,838,5,0
U003175,安卓,高端,20,2,0
U003176,iOS,低端,614,14,0
U003177,安卓,低端,1447,4,0
U003178,安卓,中端,115,5,0
U003179,iOS,高端,379,7,0
U003180,iOS,中端,247,6,0
U003181,安卓,中端,157,7,1
U003182,安卓,低端,845,6,0
U003183,安卓,中端,617,4,0
U003184,安卓,中端,215,5,0
U003185,安卓,低端,299,6,0
U003186,iOS,中端,1481,9,0
U003187,安卓,中端,44,4,0
U003188,安卓,中端,692,5,0
U003189,安卓,中端,346,3,0
U003190,安卓,中端,2160,5,0
U003191,安卓,中端,306,7,0
U003192,安卓,中端,368,2,0
U003193,安卓,高端,249,3,0
U003194,安卓,低端,353,4,0
U003195,安卓,低端,75,8,0
U003196,安卓,中端,313,7,0
U003197,安卓,中端,303,5,0
U003198,安卓,中端,294,2,0
U003199,安卓,高端,2629,4,0
U003200,安卓,低端,445,6,0
U003201,iOS,中端,350,6,0
U003202,iOS,低端,150,5,0
U003203,安卓,高端,411,5,0
U003204,安卓,中端,97,5,0
U003205,安卓,低端,191,5,0
U003206,安卓,中端,390,4,0
U003207,iOS,中端,95,11,1
U003208,安卓,低端,40,6,0
U003209,安卓,中端,783,6,0
U003210,iOS,中端,454,9,0
U003211,安卓,高端,294,2,0
U003212,iOS,中端,661,6,0
U003213,iOS,高端,179,6,0
U003214,安卓,低端,1178,3,0
U003215,iOS,低端,462,7,0
U003216,安卓,中端,298,4,0
U003217,iOS,高端,214,5,0
U003218,安卓,中端,744,7,0
U003219,安卓,中端,202,6,0
U003220,安卓,低端,210,4,0
U003221,安卓,中端,379,4,0
U003222,安卓,中端,52,9,0
U003223,安卓,高端,34,9,0
U003224,安卓,中端,499,8,0
U003225,安卓,高端,16,4,0
U003226,安卓,低端,63,2,0
U003227,安卓,低端,597,3,0
U003228,安卓,低端,200,4,0
U003229,安卓,低端,184,2,0
U003230,安卓,中端,111,5,0
U003231,iOS,低端,146,4,0
U003232,iOS,中端,604,12,0
U003233,安卓,高端,173,2,0
U003234,iOS,中端,111,6,0
U003235,安卓,高端,508,4,0
U003236,安卓,中端,60,6,0
U003237,iOS,中端,511,4,1
U003238,安卓,低端,746,5,1
U003239,安卓,高端,2351,4,0
U003240,iOS,中端,622,5,0
U003241,安卓,中端,839,11,0
U003242,安卓,高端,630,4,0
U003243,安卓,高端,175,6,0
U003244,安卓,低端,278,4,0
U003245,安卓,低端,147,8,0
U003246,安卓,低端,13,8,0
U003247,安卓,低端,1562,3,1
U003248,安卓,低端,597,4,0
U003249,安卓,低端,799,4,0
U003250,安卓,低端,291,6,0
U003251,安卓,高端,1678,6,0
U003252,iOS,低端,2094,6,0
U003253,安卓,低端,172,4,1
U003254,安卓,低端,131,5,0
U003255,安卓,高端,500,5,1
U003256,安卓,低端,389,5,0
U003257,安卓,中端,155,3,0
U003258,安卓,中端,55,7,1
U003259,iOS,中端,135,6,0
U003260,安卓,中端,644,4,0
U003261,安卓,中端,1167,5,0
U003262,安卓,中端,200,6,0
U003263,iOS,中端,352,9,0
U003264,安卓,中端,163,3,0
U003265,安卓,低端,501,10,0
U003266,安卓,低端,48,6,0
U003267,安卓,高端,1329,4,0
U003268,安卓,低端,68,4,0
U003269,iOS,中端,951,7,0
U003270,iOS,高端,564,5,0
